record_id,item,framing_arm,proof_variant,segment,n_shown,n_best,n_worst,bw_score
49.0,8,1,0,16,3,0,1,-1
49.0,11,1,2,16,4,4,0,4
49.0,6,1,3,16,2,0,0,0
49.0,12,1,1,16,4,1,1,0
49.0,13,1,1,16,4,0,3,-3
49.0,14,1,0,16,4,0,2,-2
49.0,15,1,1,16,4,0,1,-1
49.0,16,1,3,16,4,1,1,0
49.0,17,1,0,16,3,0,0,0
49.0,1,1,3,16,2,0,1,-1
49.0,2,1,1,16,2,1,0,1
50.0,9,2,0,3,3,1,1,0
50.0,12,2,2,3,3,0,0,0
50.0,14,2,0,3,4,0,3,-3
50.0,5,2,2,3,4,1,1,0
50.0,6,2,3,3,3,2,0,2
50.0,10,2,1,3,3,2,1,1
50.0,15,2,2,3,4,0,2,-2
50.0,13,2,2,3,3,1,1,0
50.0,16,2,3,3,4,1,0,1
50.0,7,2,0,3,3,1,0,1
50.0,11,2,1,3,2,1,0,1
50.0,17,2,0,3,4,1,0,1
50.0,8,2,0,3,3,1,0,1
50.0,1,2,1,3,4,0,3,-3
50.0,2,2,2,3,3,0,1,-1
50.0,3,2,2,3,3,1,1,0
50.0,4,2,1,3,3,1,0,1
51.0,2,2,3,2,3,0,2,-2
51.0,12,2,1,2,3,0,2,-2
51.0,14,2,0,2,4,0,1,-1
51.0,3,2,2,2,4,2,1,1
51.0,13,2,3,2,3,0,1,-1
51.0,4,2,2,2,4,0,1,-1
51.0,15,2,1,2,4,0,2,-2
51.0,5,2,2,2,4,2,1,1
51.0,16,2,1,2,3,2,0,2
51.0,6,2,2,2,4,1,0,1
51.0,17,2,0,2,2,0,0,0
51.0,1,2,2,2,2,0,0,0
51.0,7,2,0,2,4,0,2,-2
51.0,8,2,0,2,4,3,0,3
51.0,9,2,0,2,3,3,0,3
51.0,10,2,2,2,3,0,1,-1
51.0,11,2,1,2,2,1,0,1
54.0,10,1,2,13,3,0,1,-1
54.0,1,1,3,13,4,0,0,0
54.0,17,1,0,13,3,2,0,2
54.0,12,1,1,13,4,2,1,1
54.0,11,1,2,13,3,1,0,1
54.0,13,1,3,13,4,2,1,1
54.0,2,1,2,13,4,0,3,-3
54.0,14,1,0,13,3,2,0,2
54.0,3,1,2,13,4,0,1,-1
54.0,4,1,2,13,4,1,1,0
54.0,15,1,1,13,2,0,1,-1
54.0,16,1,3,13,2,0,0,0
54.0,5,1,2,13,4,0,3,-3
54.0,6,1,2,13,4,2,0,2
54.0,7,1,0,13,3,0,2,-2
54.0,8,1,0,13,3,1,0,1
54.0,9,1,0,13,2,1,0,1
55.0,17,2,0,16,3,1,1,0
55.0,6,2,1,16,4,1,1,0
55.0,4,2,3,16,3,0,3,-3
55.0,1,2,1,16,3,0,0,0
55.0,2,2,3,16,3,1,0,1
55.0,5,2,1,16,3,1,0,1
55.0,7,2,0,16,4,1,1,0
55.0,8,2,0,16,4,2,0,2
55.0,3,2,3,16,2,0,1,-1
55.0,9,2,0,16,4,3,0,3
55.0,10,2,1,16,4,1,1,0
55.0,11,2,1,16,4,2,1,1
55.0,12,2,2,16,4,1,0,1
55.0,13,2,1,16,4,0,2,-2
55.0,14,2,0,16,3,0,1,-1
55.0,15,2,2,16,2,0,0,0
55.0,16,2,1,16,2,0,2,-2
56.0,17,1,0,3,4,0,2,-2
56.0,16,1,1,3,3,0,3,-3
56.0,11,1,1,3,4,3,0,3
56.0,9,1,0,3,3,0,0,0
56.0,12,1,1,3,4,0,1,-1
56.0,1,1,2,3,4,0,0,0
56.0,10,1,1,3,3,3,0,3
56.0,13,1,1,3,3,0,2,-2
56.0,2,1,3,3,4,1,1,0
56.0,3,1,1,3,4,3,1,2
56.0,14,1,0,3,2,0,0,0
56.0,15,1,1,3,2,0,0,0
56.0,4,1,3,3,4,0,3,-3
56.0,5,1,1,3,4,3,0,3
56.0,6,1,2,3,3,1,0,1
56.0,7,1,0,3,3,0,0,0
56.0,8,1,0,3,2,0,1,-1
57.0,13,1,2,16,4,0,4,-4
57.0,5,1,1,16,3,1,0,1
57.0,6,1,3,16,4,2,0,2
57.0,2,1,3,16,3,1,0,1
57.0,7,1,0,16,4,0,2,-2
57.0,3,1,1,16,2,0,1,-1
57.0,14,1,0,16,4,0,0,0
57.0,4,1,3,16,2,0,0,0
57.0,15,1,2,16,4,0,3,-3
57.0,8,1,0,16,4,1,2,-1
57.0,9,1,0,16,4,1,1,0
57.0,16,1,3,16,3,0,0,0
57.0,10,1,1,16,3,2,0,2
57.0,17,1,0,16,3,1,1,0
57.0,11,1,2,16,3,1,0,1
57.0,1,1,3,16,3,1,0,1
57.0,12,1,1,16,3,3,0,3
59.0,7,1,0,4,4,0,0,0
59.0,5,1,1,4,3,1,0,1
59.0,15,1,1,4,4,1,2,-1
59.0,2,1,2,4,3,2,0,2
59.0,8,1,0,4,4,0,0,0
59.0,6,1,1,4,3,1,1,0
59.0,3,1,2,4,3,0,1,-1
59.0,16,1,2,4,3,2,1,1
59.0,17,1,0,4,3,0,1,-1
59.0,4,1,2,4,2,0,2,-2
59.0,9,1,0,4,4,1,0,1
59.0,1,1,3,4,3,1,1,0
59.0,10,1,1,4,4,0,1,-1
59.0,11,1,2,4,4,1,1,0
59.0,12,1,1,4,3,3,0,3
59.0,13,1,3,4,3,0,1,-1
59.0,14,1,0,4,3,1,2,-1
60.0,2,1,2,6,4,0,1,-1
60.0,1,1,2,6,3,1,1,0
60.0,9,1,0,6,4,0,1,-1
60.0,15,1,2,6,3,0,1,-1
60.0,16,1,1,6,2,0,2,-2
60.0,10,1,2,6,4,3,0,3
60.0,3,1,2,6,4,0,0,0
60.0,11,1,2,6,4,1,2,-1
60.0,4,1,3,6,4,1,0,1
60.0,17,1,0,6,2,0,0,0
60.0,5,1,1,6,4,3,1,2
60.0,12,1,2,6,3,2,0,2
60.0,6,1,1,6,3,1,1,0
60.0,13,1,3,6,3,0,3,-3
60.0,7,1,0,6,3,2,1,1
60.0,14,1,0,6,3,0,0,0
60.0,8,1,0,6,3,0,0,0
61.0,6,1,1,3,3,0,1,-1
61.0,3,1,2,3,3,0,1,-1
